"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",10.0888106808942,0.0632725048384756,159.450154639038,4.76734703687791e-106
"log(price)",-1.8973531757258,0.39969280489904,-4.74702859913893,8.3916951107572e-06
"display_pctacv",1.06946567428424,0.148910218558039,7.18194953066576,2.55828359070415e-10
"feature_pctacv",-0.0912440729563219,0.0906242788568308,-1.00683916172696,0.316903621490974
